,Incident Type,Response Time,minute
4852,Fire+AC0-3rd Alarm,623,60
4632,Fire+AC0-3rd Alarm,4931,60
4873,Fire+AC0-2nd Alarm,1316,60
6285,Fire+AC0-2nd Alarm,4931,60
7269,Fire+AC0-3rd Alarm,4931,60
7268,Fire+AC0-2nd Alarm,206,60
4893,Fire+AC0-Manhole,3100,60
4892,Fire+AC0-High Rise,372,60
4897,Fire+AC0-2nd Alarm,104,60
4898,Fire+AC0-Haz Mat,27,60
4916,Fire+AC0-Haz Mat,186,60
4918,Fire+AC0-Other,329,60
7292,Fire+AC0-2nd Alarm,1150,60
4938,Fire+AC0-10+AC0-76 (Commercial High Rise Fire),82,60
4954,Fire+AC0-1st Alarm,157,60
7321,Fire+AC0-2nd Alarm,101,60
4957,Fire+AC0-2nd Alarm,129,60
7310,Fire+AC0-2nd Alarm,583,60
4960,Fire+AC0-2nd Alarm,267,60
