,Incident Type,Response Time,minute
5209,Law Enforcement+AC0-Suspicious Package,106,60
5211,Law Enforcement+AC0-Suspicious Package,73,60
5228,Law Enforcement+AC0-Suspicious Package,22,60
7369,Law Enforcement+AC0-Suspicious Package,64,60
7402,Law Enforcement+AC0-Suspicious Package,34,60
7409,Law Enforcement+AC0-Device,71,60
7413,Law Enforcement+AC0-Suspicious Package,82,60
5357,Law Enforcement+AC0-Suspicious Package,142,60
5360,Law Enforcement+AC0-Other,47,60
7428,Law Enforcement+AC0-Haz Mat,17,60
5482,Law Enforcement+AC0-Suspicious Package,95,60
7457,Law Enforcement+AC0-Device,107,60
7460,Law Enforcement+AC0-Suspicious Package,53,60
5673,Law Enforcement+AC0-Suspicious Package,33,60
7475,Law Enforcement+AC0-Suspicious Package,67,60
5766,Law Enforcement+AC0-Other,136,60
5771,Law Enforcement+AC0-Other,53,60
7501,Law Enforcement+AC0-Suspicious Package,189,60
7509,Law Enforcement+AC0-Other,768,60
6311,Law Enforcement+AC0-Suspicious Package,29,60
7517,Law Enforcement+AC0-Other,1145,60
7530,Law Enforcement+AC0-Suspicious Package,1145,60
7531,Law Enforcement+AC0-Haz Mat,1145,60
5894,Law Enforcement+AC0-Suspicious Package,64,60
7522,Law Enforcement+AC0-Suspicious Package,146,60
7523,Law Enforcement+AC0-Suspicious Package,34,60
7528,Law Enforcement+AC0-Device,160,60
7529,Law Enforcement+AC0-Device,43,60
7532,Law Enforcement+AC0-Civil Unrest,223,60
6127,Law Enforcement+AC0-Mobilization,0,60
5835,Law Enforcement+AC0-Other,63,60
7575,Law Enforcement+AC0-Other,42,60
7577,Law Enforcement+AC0-Suspicious Package,50,60
7581,Law Enforcement+AC0-Suspicious Package,91,60
7582,Law Enforcement+AC0-Other,66,60
7583,Law Enforcement+AC0-Suspicious Package,19,60
7590,Law Enforcement+AC0-Suspicious Package,77,60
7597,Law Enforcement+AC0-Suspicious Package,67,60
7605,Law Enforcement+AC0-Suspicious Package,28,60
7619,Law Enforcement+AC0-Suspicious Package,115,60
7628,Law Enforcement+AC0-Other,93,60
7629,Law Enforcement+AC0-Haz Mat,113,60
7631,Law Enforcement+AC0-Other,38,60
7632,Law Enforcement+AC0-Device,81,60
7634,Law Enforcement+AC0-Suspicious Package,20,60
7639,Law Enforcement+AC0-Suspicious Package,173,60
7642,Law Enforcement+AC0-Suspicious Package,54,60
7654,Law Enforcement+AC0-Suspicious Package,58,60
7656,Law Enforcement+AC0-Suspicious Package,22,60
5243,Law Enforcement+AC0-Suspicious Package,65,60
7664,Law Enforcement+AC0-Device,123,60
6436,Law Enforcement+AC0-Haz Mat,224,60
7667,Law Enforcement+AC0-Other,126,60
7669,Law Enforcement+AC0-Suspicious Package,59,60
7670,Law Enforcement+AC0-Suspicious Package,65,60
7685,Law Enforcement+AC0-Suspicious Package,233,60
7690,Law Enforcement+AC0-Other,213,60
7693,Law Enforcement+AC0-Suspicious Package,85,60
7698,Law Enforcement+AC0-Suspicious Package,59,60
7702,Law Enforcement+AC0-Device,54,60
7707,Law Enforcement+AC0-Other,690,60
7708,Law Enforcement+AC0-Other,18,60
7711,Law Enforcement+AC0-Suspicious Package,72,60
7714,Law Enforcement+AC0-Suspicious Package,90,60
7727,Law Enforcement+AC0-Explosion,69,60
7737,Law Enforcement+AC0-Device,66,60
7742,Law Enforcement+AC0-Device,61,60
7760,Law Enforcement+AC0-Suspicious Package,37,60
7768,Law Enforcement+AC0-Other,14,60
7776,Law Enforcement+AC0-Device,49,60
7798,Law Enforcement+AC0-Device,37,60
7808,Law Enforcement+AC0-Suspicious Package,106,60
7887,Law Enforcement+AC0-Suspicious Package,1145,60
7825,Law Enforcement+AC0-Suspicious Package,48,60
7827,Law Enforcement+AC0-Suspicious Package,54,60
7836,Law Enforcement+AC0-Suspicious Package,79,60
7848,Law Enforcement+AC0-Other,16,60
7874,Law Enforcement+AC0-Suspicious Package,13,60
7881,Law Enforcement+AC0-Suspicious Package,340,60
7889,Law Enforcement+AC0-Suspicious Package,64,60
7891,Law Enforcement+AC0-Suspicious Package,59,60
7892,Law Enforcement+AC0-Suspicious Package,61,60
7895,Law Enforcement+AC0-Suspicious Package,40,60
7902,Law Enforcement+AC0-Device,62,60
7908,Law Enforcement+AC0-Suspicious Package,62,60
7910,Law Enforcement+AC0-Suspicious Package,27,60
7919,Law Enforcement+AC0-Other,17,60
7926,Law Enforcement+AC0-Other,46,60
7931,Law Enforcement+AC0-Suspicious Package,55,60
7933,Law Enforcement+AC0-Suspicious Package,49,60
7935,Law Enforcement+AC0-Device,65,60
7939,Law Enforcement+AC0-Suspicious Package,97,60
7968,Law Enforcement+AC0-Other,31,60
7989,Law Enforcement+AC0-Suspicious Package,49,60
7992,Law Enforcement+AC0-Suspicious Package,3,60
8009,Law Enforcement+AC0-Suspicious Package,1145,60
7997,Law Enforcement+AC0-Suspicious Package,48,60
8008,Law Enforcement+AC0-Suspicious Package,352,60
8020,Law Enforcement+AC0-Suspicious Package,54,60
8024,Law Enforcement+AC0-Suspicious Package,59,60
8031,Law Enforcement+AC0-Suspicious Package,1145,60
8027,Law Enforcement+AC0-Other,56,60
8040,Law Enforcement+AC0-Suspicious Package,63,60
