,Incident Type,Response Time,minute
7350,Utility+AC0-Water Main,359,60
5053,Utility+AC0-Water Service Line,461,60
5066,Utility+AC0-Water Main,313,60
5068,Utility+AC0-Water Main,104,60
7356,Utility+AC0-Water Service Line,129,60
5079,Utility+AC0-Water Main,2951,60
7351,Utility+AC0-Other,1180,60
5077,Utility+AC0-Water Main,553,60
5096,Utility+AC0-Electric Feeder Cable,2951,60
5127,Utility+AC0-Other,2951,60
7331,Utility+AC0-Other,209,60
5095,Utility+AC0-Gas Service Line,56,60
5102,Utility+AC0-Power Outage,276,60
5208,Utility+AC0-Water Main,2951,60
5124,Utility+AC0-Gas Service Line,99,60
5128,Utility+AC0-Gas Service Line,2136,60
5232,Utility+AC0-Water Main,2951,60
5227,Utility+AC0-Electric Feeder Cable,1094,60
5229,Utility+AC0-Water Main,2951,60
5245,Utility+AC0-Manhole,934,60
7361,Utility+AC0-Water Service Line,2263,60
7364,Utility+AC0-Power Outage,135,60
7371,Utility+AC0-Water Service Line,635,60
7370,Utility+AC0-Water Service Line,64,60
7376,Utility+AC0-Water Main,1619,60
7375,Utility+AC0-Other,1007,60
5253,Utility+AC0-Other,2463,60
7379,Utility+AC0-Steam Service Line,255,60
7386,Utility+AC0-Sewer Service,1870,60
7388,Utility+AC0-Water Service Line,1564,60
7385,Utility+AC0-Water Service Line,799,60
7419,Utility+AC0-Other,438,60
5307,Utility+AC0-Water Main,507,60
5308,Utility+AC0-Water Main,511,60
5305,Utility+AC0-Water Main,79,60
7387,Utility+AC0-Water Main,129,60
7398,Utility+AC0-Other,645,60
7391,Utility+AC0-Water Main,253,60
7394,Utility+AC0-Other,276,60
7396,Utility+AC0-Power Outage,100,60
7403,Utility+AC0-Water Service Line,1017,60
5316,Utility+AC0-Water Main,2951,60
7404,Utility+AC0-Power Outage,182,60
7405,Utility+AC0-Other,120,60
7406,Utility+AC0-Power Outage,154,60
7408,Utility+AC0-Gas Low Pressure,622,60
7407,Utility+AC0-Manhole,183,60
5317,Utility+AC0-Power Outage,1909,60
5320,Utility+AC0-Water Service Line,523,60
7416,Utility+AC0-Water Main,1632,60
7414,Utility+AC0-Water Main,687,60
