Incident Type,Creation Date,Response Time,Incident Number
Fire-School,2016-01-04,36,3
Fire-2nd Alarm,2016-01-05,340,2
Fire-Other,2016-01-06,43,17
Fire-1st Alarm,2016-01-06,112,4
Fire-2nd Alarm,2016-01-08,119,2
Fire-2nd Alarm,2016-01-08,109,2
Fire-1st Alarm,2016-01-09,40,4
Fire-2nd Alarm,2016-01-11,143,2
Fire-3rd Alarm,2016-01-12,770,5
Fire-2nd Alarm,2016-01-14,95,2
Fire-2nd Alarm,2016-01-15,200,2
Fire-Haz Mat,2016-01-18,665,11
Fire-10-77 (Residential High Rise Fire),2016-01-18,203,16
Fire-2nd Alarm,2016-01-20,121,2
Fire-3rd Alarm,2016-01-21,153,5
Fire-2nd Alarm,2016-01-23,165,2
Fire-Other,2016-01-23,33,17
Fire-10-76 (Commercial High Rise Fire),2016-01-23,128,15
Fire-4th Alarm,2016-01-24,383,1
Fire-Collapse,2016-01-24,92,14
Fire-2nd Alarm,2016-01-24,145,2
Fire-2nd Alarm,2016-01-25,136,2
Fire-2nd Alarm,2016-01-26,221,2
Fire-2nd Alarm,2016-01-27,2224,2
Fire-Haz Mat,2016-01-28,50,11
Fire-1st Alarm,2016-01-29,68,4
Fire-Manhole,2016-01-30,704,8
Fire-2nd Alarm,2016-01-31,100,2
Fire-2nd Alarm,2016-02-01,1415,2
Fire-1st Alarm,2016-02-01,66,4
Fire-3rd Alarm,2016-02-01,334,5
Fire-Other,2016-02-02,12,17
Fire-3rd Alarm,2016-02-02,376,5
Fire-1st Alarm,2016-02-02,68,4
Fire-1st Alarm,2016-02-04,40,4
Fire-2nd Alarm,2016-02-06,319,2
Fire-Other,2016-02-09,40,17
Fire-Other,2016-02-09,26,17
Fire-2nd Alarm,2016-02-12,117,2
Fire-2nd Alarm,2016-02-13,149,2
Fire-Other,2016-02-13,60,17
Fire-2nd Alarm,2016-02-14,134,2
Fire-3rd Alarm,2016-02-15,214,5
Fire-Other,2016-02-15,41,17
Fire-2nd Alarm,2016-02-16,136,2
Fire-Sensitive Location,2016-02-19,131,6
Fire-Other,2016-02-20,41,17
Fire-2nd Alarm,2016-02-20,186,2
Fire-1st Alarm,2016-02-21,31,4
Fire-Hospital,2016-02-23,127,7
Fire-2nd Alarm,2016-02-24,250,2
Fire-Other,2016-02-26,176,17
Fire-1st Alarm,2016-02-29,175,4
Fire-2nd Alarm,2016-02-29,232,2
Fire-Haz Mat,2016-02-29,43,11
Fire-Haz Mat,2016-02-29,1220,11
Fire-School,2016-03-01,43,3
Fire-2nd Alarm,2016-03-01,647,2
