Incident Type,Creation Date,Response Time,Incident Number
Structural-Bricks,2014-06-21,91,4
Structural-Scaffold,2014-07-02,155,3
Structural-Collapse,2014-07-02,874,5
Structural-Construction Accident,2014-07-03,82,1
Structural-Scaffold,2014-07-04,92,3
Structural-Falling Debris,2014-07-08,289,10
Structural-Scaffold,2014-07-08,193,3
Structural-Stability Problem,2014-07-10,91,11
Structural-Scaffold,2014-07-15,156,3
Structural-Collapse,2014-07-15,1206,5
Structural-Scaffold,2014-07-17,370,3
Structural-Partial Collapse,2014-07-19,414,12
Structural-Collapse,2014-07-22,162,5
Structural-Construction Accident,2014-07-30,71,1
Structural-Falling Debris,2014-07-31,374,10
Structural-Confined Space,2014-08-05,539,2
Structural-Collapse,2014-08-14,159,5
Structural-Construction Accident,2014-08-15,266,1
Structural-Life Safety Violations,2014-08-21,320,6
Structural-Street Collapse,2014-08-21,326,7
Structural-Sidewalk Shed,2014-08-25,189,9
Structural-Stability Problem,2014-08-25,81,11
Structural-Partial Collapse,2014-09-12,124,12
Structural-Life Safety Violations,2014-09-15,259,6
Structural-Collapse,2014-09-19,254,5
Structural-Falling Debris,2014-09-23,217,10
Structural-Falling Debris,2014-10-01,192,10
Structural-Other,2014-10-06,444,8
Structural-Construction Accident,2014-10-07,154,1
Structural-Scaffold,2014-10-08,484,3
Structural-Stability Problem,2014-10-22,1768,11
Structural-Collapse,2014-10-24,286,5
Structural-Other,2014-10-25,202,8
Structural-Partial Collapse,2014-10-27,3298,12
Structural-Collapse,2014-10-27,214,5
Structural-Construction Accident,2014-10-30,50,1
Structural-Bricks,2014-11-02,225,4
Structural-Stability Problem,2014-11-03,260,11
Structural-Falling Debris,2014-11-04,118,10
Structural-Scaffold,2014-11-07,211,3
Structural-Scaffold,2014-11-11,483,3
Structural-Falling Debris,2014-11-12,82,10
Structural-Collapse,2014-11-15,247,5
Structural-Other,2014-11-21,109,8
Structural-Scaffold,2014-11-24,168,3
Structural-Falling Debris,2014-11-24,346,10
Structural-Sidewalk Shed,2014-11-24,142,9
Structural-Collapse,2014-11-28,754,5
Structural-Confined Space,2014-12-09,19,2
Structural-Stability Problem,2014-12-09,1204,11
Structural-Street Collapse,2014-12-09,170,7
Structural-Life Safety Violations,2014-12-10,348,6
Structural-Stability Problem,2014-12-13,171,11
Structural-Falling Debris,2014-12-18,310,10
Structural-Scaffold,2014-12-21,675,3
Structural-Other,2015-01-02,60,8
Structural-Collapse,2015-01-05,122,5
Structural-Crane,2015-01-10,185,13
Structural-Partial Collapse,2015-01-13,247,12
Structural-Confined Space,2015-01-21,120,2
Structural-Stability Problem,2015-01-30,1358,11
Structural-Falling Debris,2015-02-03,151,10
Structural-Collapse,2015-02-04,132,5
Structural-Street Collapse,2015-02-14,47,7
