Incident Type,Creation Date,Response Time,Incident Number
Law Enforcement-Suspicious Package,2013-06-06,9,1
Law Enforcement-Suspicious Package,2013-06-10,216,1
Law Enforcement-Suspicious Package,2013-06-10,84,1
Law Enforcement-Suspicious Package,2013-06-12,87,1
Law Enforcement-Suspicious Package,2013-06-26,27,1
Law Enforcement-Suspicious Package,2013-06-29,44,1
Law Enforcement-Suspicious Package,2013-06-30,25,1
Law Enforcement-Suspicious Package,2013-07-01,27,1
Law Enforcement-Suspicious Package,2013-07-01,43,1
Law Enforcement-Suspicious Package,2013-07-04,27,1
Law Enforcement-Suspicious Package,2013-07-10,13,1
Law Enforcement-Suspicious Package,2013-07-18,43,1
Law Enforcement-Suspicious Package,2013-07-23,24,1
Law Enforcement-Suspicious Package,2013-07-28,40,1
Law Enforcement-Suspicious Package,2013-07-29,20,1
Law Enforcement-Suspicious Package,2013-07-31,78,1
Law Enforcement-Suspicious Package,2013-08-09,45,1
Law Enforcement-Suspicious Package,2013-08-12,132,1
Law Enforcement-Suspicious Package,2013-08-21,114,1
Law Enforcement-Suspicious Package,2013-08-26,98,1
Law Enforcement-Device,2013-08-28,46,2
Law Enforcement-Suspicious Package,2013-09-03,66,1
Law Enforcement-Suspicious Package,2013-09-11,426,1
Law Enforcement-Suspicious Package,2013-09-12,166,1
Law Enforcement-Suspicious Package,2013-09-12,78,1
Law Enforcement-Suspicious Package,2013-09-14,57,1
Law Enforcement-Suspicious Package,2013-09-14,49,1
Law Enforcement-Suspicious Package,2013-09-17,98,1
Law Enforcement-Suspicious Package,2013-09-21,46,1
Law Enforcement-Suspicious Package,2013-09-23,67,1
Law Enforcement-Suspicious Package,2013-09-23,52,1
Law Enforcement-Suspicious Package,2013-09-24,129,1
Law Enforcement-Suspicious Package,2013-09-24,753,1
Law Enforcement-Suspicious Package,2013-09-25,52,1
Law Enforcement-Suspicious Package,2013-09-26,74,1
Law Enforcement-Suspicious Package,2013-09-26,36,1
Law Enforcement-Suspicious Package,2013-09-30,15,1
