Incident Type,Creation Date,Response Time,Incident Number
Utility-Electric Feeder Cable,2013-03-16,1963,1
Utility-Water Main,2013-03-23,1467,2
Utility-Water Main,2013-03-27,1595,2
Utility-Gas High Pressure,2013-03-27,85,8
Utility-Gas Service Line,2013-04-01,114,7
Utility-Water Main,2013-04-03,1937,2
Utility-Power Outage,2013-04-05,408,4
Utility-Water Main,2013-04-14,329,2
Utility-Power Outage,2013-04-15,637,4
Utility-Water Main,2013-04-20,1308,2
Utility-Power Outage,2013-05-03,131,4
Utility-Electric Feeder Cable,2013-05-12,564,1
Utility-Power Outage,2013-05-21,47,4
Utility-Power Outage,2013-05-30,96,4
Utility-Power Outage,2013-06-02,54,4
Utility-Water Main,2013-06-03,1135,2
Utility-Water Main,2013-06-05,1601,2
Utility-Water Main,2013-06-15,1104,2
Utility-Water Main,2013-06-16,813,2
Utility-Water Main,2013-06-24,138,2
Utility-Gas Service Line,2013-07-02,65,7
Utility-Water Main,2013-07-02,1651,2
Utility-Gas Service Line,2013-07-05,97,7
Utility-Power Outage,2013-07-05,179,4
Utility-Water Main,2013-07-06,1206,2
Utility-Power Outage,2013-07-06,540,4
Utility-Power Outage,2013-07-06,423,4
Utility-Power Outage,2013-07-06,1022,4
Utility-Power Outage,2013-07-15,378,4
Utility-Electric Feeder Cable,2013-07-18,667,1
Utility-Electric Feeder Cable,2013-07-18,34,1
Utility-Power Outage,2013-07-18,156,4
Utility-Power Outage,2013-07-19,395,4
Utility-Power Outage,2013-07-19,1141,4
Utility-Power Outage,2013-07-19,324,4
Utility-Power Outage,2013-07-20,2862,4
Utility-Power Outage,2013-07-26,299,4
Utility-Water Main,2013-08-19,1014,2
Utility-Water Main,2013-08-20,1434,2
Utility-Power Outage,2013-08-23,75,4
Utility-Power Outage,2013-08-25,31,4
Utility-Water Service Line,2013-08-26,171,6
Utility-Water Main,2013-08-29,916,2
Utility-Gas High Pressure,2013-08-30,338,8
Utility-Water Main,2013-09-06,1551,2
Utility-Gas High Pressure,2013-09-09,404,8
Utility-Water Main,2013-09-10,1667,2
Utility-Water Main,2013-09-11,195,2
Utility-Water Main,2013-09-12,1406,2
Utility-Water Main,2013-09-14,966,2
Utility-Water Main,2013-09-16,1213,2
Utility-Water Main,2013-09-18,338,2
Utility-Water Service Line,2013-09-24,122,6
Utility-Water Main,2013-09-25,1129,2
Utility-Power Outage,2013-09-30,1901,4
Utility-Gas High Pressure,2013-10-11,639,8
Utility-Water Main,2013-10-23,589,2
Utility-Gas Service Line,2013-10-29,401,7
Utility-Water Service Line,2013-10-30,64,6
Utility-Manhole,2013-10-31,955,5
Utility-Water Main,2013-11-07,642,2
Utility-Water Main,2013-11-10,150,2
Utility-Electric Feeder Cable,2013-11-19,8,1
Utility-Gas Main Rupture,2013-11-20,235,3
Utility-Water Main,2013-11-23,2148,2
Utility-Power Outage,2013-11-24,85,4
Utility-Manhole,2013-11-28,285,5
Utility-Water Main,2013-12-07,703,2
Utility-Water Main,2013-12-10,767,2
Utility-Water Service Line,2013-12-11,427,6
Utility-Water Main,2013-12-14,99,2
Utility-Water Main,2013-12-14,724,2
Utility-Gas High Pressure,2013-12-17,39,8
Utility-Gas Main Rupture,2013-12-17,145,3
Utility-Manhole,2013-12-17,131,5
Utility-Manhole,2013-12-18,429,5
Utility-Water Main,2013-12-18,1781,2
Utility-Power Outage,2013-12-19,180,4
Utility-Power Outage,2014-01-02,1361,4
Utility-Power Outage,2014-01-03,278,4
Utility-Water Main,2014-01-05,392,2
