Incident Type,Creation Date,Response Time,Year,Week,Day
Fire-Explosion,2013-12-17,85.0,2013,2013-50,351
Fire-2nd Alarm,2013-12-18,329.0,2013,2013-50,352
Fire-Manhole,2013-12-19,504.0,2013,2013-50,353
Fire-2nd Alarm,2013-12-19,37.0,2013,2013-50,353
Fire-Manhole,2013-12-20,43.0,2013,2013-50,354
Fire-Sensitive Location,2013-12-20,74.0,2013,2013-50,354
Fire-10-77 (Residential High Rise),2013-12-20,49.0,2013,2013-50,354
Fire-10-77 (Residential High Rise),2013-12-21,76.0,2013,2013-50,355
Fire-Sensitive Location,2013-12-22,726.0,2013,2013-51,356
Fire-1st Alarm,2013-12-23,4921.400000000009,2013,2013-51,357
Fire-1st Alarm,2013-12-25,30.0,2013,2013-51,359
Fire-10-77 (Residential High Rise),2013-12-25,55.0,2013,2013-51,359
Fire-1st Alarm,2013-12-25,43.0,2013,2013-51,359
Fire-Funeral Home,2013-12-29,253.0,2013,2013-52,363
Fire-Transformer Inside Of Substation,2013-12-29,129.0,2013,2013-52,363
Fire-Explosion,2013-12-30,104.0,2013,2013-52,364
Fire-Manhole,2013-12-31,44.0,2013,2013-52,365
Fire-Hospital,2014-01-01,84.0,2014,2014-00,1
Fire-10-76 (Commercial High Rise),2014-01-03,67.0,2014,2014-00,3
